,name,salary,min_salary,max_salary,currency_salary,link,source
69,Стажер-аналитик,З/П не указана,,,,https://hh.ru/vacancy/77306960?from=vacancy_search_list&query=python,hh.ru
70,Middle Python/Go developer,от 150 000 руб.,150000.0,,руб.,https://hh.ru/vacancy/77230563?from=vacancy_search_list&query=python,hh.ru
71,Программист-разработчик,З/П не указана,,,,https://hh.ru/vacancy/76762046?from=vacancy_search_list&query=python,hh.ru
72,Full-stack Python/Django-разработчик,до 200 000 руб.,,200000.0,руб.,https://hh.ru/vacancy/76549392?from=vacancy_search_list&query=python,hh.ru
73,Аналитик данных (Data Analist),З/П не указана,,,,https://hh.ru/vacancy/76584671?from=vacancy_search_list&query=python,hh.ru
74,Python Developer,З/П не указана,,,,https://hh.ru/vacancy/76843829?from=vacancy_search_list&query=python,hh.ru
75,Middle Python developer,120 000 – 200 000 руб.,120000.0,200000.0,руб.,https://hh.ru/vacancy/76595028?from=vacancy_search_list&query=python,hh.ru
76,Data Scientist CVM,З/П не указана,,,,https://hh.ru/vacancy/77366229?from=vacancy_search_list&query=python,hh.ru
77,Senior Python Developer (Беспилотные автомобили),З/П не указана,,,,https://hh.ru/vacancy/76985818?from=vacancy_search_list&query=python,hh.ru
78,Преподаватель Python,от 125 000 руб.,125000.0,,руб.,https://hh.ru/vacancy/77083926?from=vacancy_search_list&query=python,hh.ru
79,Backend-разработчик Python/Django,З/П не указана,,,,https://hh.ru/vacancy/75850366?from=vacancy_search_list&query=python,hh.ru
80,Python / Go Разработчик,З/П не указана,,,,https://hh.ru/vacancy/74089202?from=vacancy_search_list&query=python,hh.ru
81,Программист Python,З/П не указана,,,,https://hh.ru/vacancy/75704098?from=vacancy_search_list&query=python,hh.ru
82,DevOps инженер,100 000 – 120 000 руб.,100000.0,120000.0,руб.,https://hh.ru/vacancy/76587347?from=vacancy_search_list&query=python,hh.ru
83,Lead Backend Developer (python),от 200 000 руб.,200000.0,,руб.,https://hh.ru/vacancy/76971118?from=vacancy_search_list&query=python,hh.ru
84,Data analyst / Аналитик данных,от 90 000 руб.,90000.0,,руб.,https://hh.ru/vacancy/76690668?from=vacancy_search_list&query=python,hh.ru
85,Senior Python developer (Django),до 450 000 руб.,,450000.0,руб.,https://hh.ru/vacancy/76821520?from=vacancy_search_list&query=python,hh.ru
86,Инженер данных ClickHouse,120 000 – 200 000 руб.,120000.0,200000.0,руб.,https://hh.ru/vacancy/77225799?from=vacancy_search_list&query=python,hh.ru
